Date,Open,High,Low,Close,Change %
02-01-2009,2013.57,2013.57,2013.57,2013.57,1.82%
05-01-2009,2085.47,2085.47,2085.47,2085.47,3.57%
06-01-2009,2103.83,2103.83,2103.83,2103.83,0.88%
07-01-2009,1950.46,1950.46,1950.46,1950.46,-7.29%
09-01-2009,1920.87,1920.87,1920.87,1920.87,-1.52%
12-01-2009,1848.53,1848.53,1848.53,1848.53,-3.77%
13-01-2009,1820.9,1820.9,1820.9,1820.9,-1.49%
14-01-2009,1857.96,1857.96,1857.96,1857.96,2.04%
15-01-2009,1771.72,1771.72,1771.72,1771.72,-4.64%
16-01-2009,1807.04,1807.04,1807.04,1807.04,1.99%
19-01-2009,1789.04,1789.04,1789.04,1789.04,-1.00%
20-01-2009,1739.45,1739.45,1739.45,1739.45,-2.77%
21-01-2009,1664.5,1664.5,1664.5,1664.5,-4.31%
22-01-2009,1678.07,1678.07,1678.07,1678.07,0.82%
23-01-2009,1618.79,1618.79,1618.79,1618.79,-3.53%
27-01-2009,1668.84,1668.84,1668.84,1668.84,3.09%
28-01-2009,1732.56,1732.56,1732.56,1732.56,3.82%
29-01-2009,1739.05,1739.05,1739.05,1739.05,0.37%
30-01-2009,1772.2,1772.2,1772.2,1772.2,1.91%
02-02-2009,1681.01,1681.01,1681.01,1681.01,-5.15%
03-02-2009,1685.59,1685.59,1685.59,1685.59,0.27%
04-02-2009,1684.96,1684.96,1684.96,1684.96,-0.04%
05-02-2009,1667.38,1667.38,1667.38,1667.38,-1.04%
06-02-2009,1702.91,1702.91,1702.91,1702.91,2.13%
09-02-2009,1759.33,1759.33,1759.33,1759.33,3.31%
10-02-2009,1785.76,1785.76,1785.76,1785.76,1.50%
11-02-2009,1791.35,1791.35,1791.35,1791.35,0.31%
12-02-2009,1776.37,1776.37,1776.37,1776.37,-0.84%
13-02-2009,1816.69,1816.69,1816.69,1816.69,2.27%
16-02-2009,1739.72,1739.72,1739.72,1739.72,-4.24%
17-02-2009,1671.42,1671.42,1671.42,1671.42,-3.93%
18-02-2009,1635.69,1635.69,1635.69,1635.69,-2.14%
19-02-2009,1634.58,1634.58,1634.58,1634.58,-0.07%
20-02-2009,1586.74,1586.74,1586.74,1586.74,-2.93%
24-02-2009,1559.36,1559.36,1559.36,1559.36,-1.73%
25-02-2009,1568.19,1568.19,1568.19,1568.19,0.57%
26-02-2009,1536.8,1536.8,1536.8,1536.8,-2.00%
27-02-2009,1559.82,1559.82,1559.82,1559.82,1.50%
02-03-2009,1495.35,1495.35,1495.35,1495.35,-4.13%
03-03-2009,1461.79,1461.79,1461.79,1461.79,-2.24%
04-03-2009,1439.87,1439.87,1439.87,1439.87,-1.50%
05-03-2009,1391.95,1391.95,1391.95,1391.95,-3.33%
06-03-2009,1408.09,1408.09,1408.09,1408.09,1.16%
09-03-2009,1382.52,1382.52,1382.52,1382.52,-1.82%
12-03-2009,1420.54,1420.54,1420.54,1420.54,2.75%
13-03-2009,1499.78,1499.78,1499.78,1499.78,5.58%
16-03-2009,1542.97,1542.97,1542.97,1542.97,2.88%
17-03-2009,1512.7,1512.7,1512.7,1512.7,-1.96%
18-03-2009,1534.46,1534.46,1534.46,1534.46,1.44%
19-03-2009,1546.32,1546.32,1546.32,1546.32,0.77%
20-03-2009,1526.83,1526.83,1526.83,1526.83,-1.26%
23-03-2009,1631.81,1631.81,1631.81,1631.81,6.88%
24-03-2009,1657.38,1657.38,1657.38,1657.38,1.57%
25-03-2009,1702.76,1702.76,1702.76,1702.76,2.74%
26-03-2009,1754.16,1754.16,1754.16,1754.16,3.02%
27-03-2009,1779.76,1779.76,1779.76,1779.76,1.46%
30-03-2009,1637.92,1637.92,1637.92,1637.92,-7.97%
31-03-2009,1670.5,1670.5,1670.5,1670.5,1.99%
01-04-2009,1718.51,1718.51,1718.51,1718.51,2.87%
02-04-2009,1803.77,1803.77,1803.77,1803.77,4.96%
06-04-2009,1847.11,1847.11,1847.11,1847.11,2.40%
08-04-2009,1852.81,1852.81,1852.81,1852.81,0.31%
09-04-2009,1874.97,1874.97,1874.97,1874.97,1.20%
13-04-2009,1942.04,1942.04,1942.04,1942.04,3.58%
15-04-2009,2037.13,2037.13,2037.13,2037.13,4.90%
16-04-2009,1992,1992,1992,1992,-2.22%
17-04-2009,2048.87,2048.87,2048.87,2048.87,2.85%
20-04-2009,2036.49,2036.49,2036.49,2036.49,-0.60%
21-04-2009,1991.74,1991.74,1991.74,1991.74,-2.20%
22-04-2009,1972.6,1972.6,1972.6,1972.6,-0.96%
23-04-2009,2030.84,2030.84,2030.84,2030.84,2.95%
24-04-2009,2085.4,2085.4,2085.4,2085.4,2.69%
27-04-2009,2088.96,2088.96,2088.96,2088.96,0.17%
28-04-2009,1980.45,1980.45,1980.45,1980.45,-5.19%
29-04-2009,2072.49,2072.49,2072.49,2072.49,4.65%
04-05-2009,2260.66,2260.66,2260.66,2260.66,9.08%
05-05-2009,2282.08,2282.08,2282.08,2282.08,0.95%
06-05-2009,2208.74,2208.74,2208.74,2208.74,-3.21%
07-05-2009,2270.45,2270.45,2270.45,2270.45,2.79%
08-05-2009,2198.85,2198.85,2198.85,2198.85,-3.15%
11-05-2009,2163.2,2163.2,2163.2,2163.2,-1.62%
12-05-2009,2279.19,2279.19,2279.19,2279.19,5.36%
13-05-2009,2271.06,2271.06,2271.06,2271.06,-0.36%
14-05-2009,2258.3,2258.3,2258.3,2258.3,-0.56%
15-05-2009,2331.52,2331.52,2331.52,2331.52,3.24%
18-05-2009,2785.95,2785.95,2785.95,2785.95,19.49%
19-05-2009,2952.66,2952.66,2952.66,2952.66,5.98%
20-05-2009,2896.11,2896.11,2896.11,2896.11,-1.92%
21-05-2009,2801,2801,2801,2801,-3.28%
22-05-2009,2848.49,2848.49,2848.49,2848.49,1.70%
25-05-2009,2856.33,2856.33,2856.33,2856.33,0.28%
26-05-2009,2758.22,2758.22,2758.22,2758.22,-3.43%
27-05-2009,2915.1,2915.1,2915.1,2915.1,5.69%
28-05-2009,2958.37,2958.37,2958.37,2958.37,1.48%
29-05-2009,2981.48,2981.48,2981.48,2981.48,0.78%
01-06-2009,2995.22,2995.22,2995.22,2995.22,0.46%
02-06-2009,2997.88,2997.88,2997.88,2997.88,0.09%
03-06-2009,2986.22,2986.22,2986.22,2986.22,-0.39%
04-06-2009,3045.84,3045.84,3045.84,3045.84,2.00%
05-06-2009,3031.93,3031.93,3031.93,3031.93,-0.46%
08-06-2009,2883.46,2883.46,2883.46,2883.46,-4.90%
09-06-2009,2965.24,2965.24,2965.24,2965.24,2.84%
10-06-2009,3018.93,3018.93,3018.93,3018.93,1.81%
11-06-2009,3005.47,3005.47,3005.47,3005.47,-0.45%
12-06-2009,2930.08,2930.08,2930.08,2930.08,-2.51%
15-06-2009,2920.86,2920.86,2920.86,2920.86,-0.31%
16-06-2009,3003.06,3003.06,3003.06,3003.06,2.81%
17-06-2009,2918.12,2918.12,2918.12,2918.12,-2.83%
18-06-2009,2898.36,2898.36,2898.36,2898.36,-0.68%
19-06-2009,2938.8,2938.8,2938.8,2938.8,1.40%
22-06-2009,2927.94,2927.94,2927.94,2927.94,-0.37%
23-06-2009,2905.79,2905.79,2905.79,2905.79,-0.76%
24-06-2009,2901.21,2901.21,2901.21,2901.21,-0.16%
25-06-2009,2921.81,2921.81,2921.81,2921.81,0.71%
26-06-2009,3035,3035,3035,3035,3.87%
29-06-2009,3053.8,3053.8,3053.8,3053.8,0.62%
30-06-2009,2979.62,2979.62,2979.62,2979.62,-2.43%
01-07-2009,3016.18,3016.18,3016.18,3016.18,1.23%
02-07-2009,3028.03,3028.03,3028.03,3028.03,0.39%
03-07-2009,3117.39,3117.39,3117.39,3117.39,2.95%
06-07-2009,2857.07,2857.07,2857.07,2857.07,-8.35%
07-07-2009,2870.57,2870.57,2870.57,2870.57,0.47%
08-07-2009,2760.39,2760.39,2760.39,2760.39,-3.84%
09-07-2009,2756.68,2756.68,2756.68,2756.68,-0.13%
10-07-2009,2689.34,2689.34,2689.34,2689.34,-2.44%
13-07-2009,2685.22,2685.22,2685.22,2685.22,-0.15%
14-07-2009,2816.24,2816.24,2816.24,2816.24,4.88%
15-07-2009,2906.74,2906.74,2906.74,2906.74,3.21%
16-07-2009,2882.37,2882.37,2882.37,2882.37,-0.84%
17-07-2009,3013.91,3013.91,3013.91,3013.91,4.56%
20-07-2009,3094.68,3094.68,3094.68,3094.68,2.68%
21-07-2009,3069.63,3069.63,3069.63,3069.63,-0.81%
22-07-2009,3001.42,3001.42,3001.42,3001.42,-2.22%
23-07-2009,3059.98,3059.98,3059.98,3059.98,1.95%
24-07-2009,3030.08,3030.08,3030.08,3030.08,-0.98%
27-07-2009,3039.46,3039.46,3039.46,3039.46,0.31%
28-07-2009,3024.11,3024.11,3024.11,3024.11,-0.51%
29-07-2009,2995.44,2995.44,2995.44,2995.44,-0.95%
30-07-2009,3074.2,3074.2,3074.2,3074.2,2.63%
31-07-2009,3136.93,3136.93,3136.93,3136.93,2.04%
03-08-2009,3173.35,3173.35,3173.35,3173.35,1.16%
04-08-2009,3157.33,3157.33,3157.33,3157.33,-0.50%
05-08-2009,3144.32,3144.32,3144.32,3144.32,-0.41%
06-08-2009,3078.8,3078.8,3078.8,3078.8,-2.08%
07-08-2009,2999.89,2999.89,2999.89,2999.89,-2.56%
10-08-2009,2955.97,2955.97,2955.97,2955.97,-1.46%
11-08-2009,2975.48,2975.48,2975.48,2975.48,0.66%
12-08-2009,2962.62,2962.62,2962.62,2962.62,-0.43%
13-08-2009,3085.28,3085.28,3085.28,3085.28,4.14%
14-08-2009,3058.27,3058.27,3058.27,3058.27,-0.88%
17-08-2009,2929.64,2929.64,2929.64,2929.64,-4.21%
