Date,Open,High,Low,Close,Volume,Change %
04-01-1993,329.1,329.4,326.5,328.4,14850,-1.41%
05-01-1993,329,329.5,328.5,329,20380,0.18%
06-01-1993,329.6,330.4,329.2,330.1,18110,0.33%
07-01-1993,329,329.7,328.4,329,7850,-0.33%
08-01-1993,328.9,329.8,328.8,329.5,14630,0.15%
11-01-1993,328.8,328.9,326.9,327.8,22730,-0.52%
12-01-1993,329,330.7,328.1,328.8,25760,0.31%
13-01-1993,327.3,328.5,326.3,327.6,13290,-0.36%
14-01-1993,328.2,328.5,326.9,327.3,9980,-0.09%
15-01-1993,327.3,328,326.9,327,7340,-0.09%
18-01-1993,327,328.2,326.9,328,12870,0.31%
19-01-1993,328.8,329.4,328.4,328.6,21210,0.18%
20-01-1993,328.4,330.4,328.2,329.8,15820,0.37%
21-01-1993,329.8,330.3,328.9,329.3,15450,-0.15%
22-01-1993,329.3,329.7,328.5,328.6,11600,-0.21%
25-01-1993,328.5,329.1,328.2,328.8,33650,0.06%
26-01-1993,329.4,331.5,329.3,331.1,17050,0.70%
27-01-1993,330.6,331,329.8,329.9,18420,-0.36%
28-01-1993,330.5,331.2,330.4,331.1,16250,0.36%
29-01-1993,332.6,333,330.6,330.7,7990,-0.12%
01-02-1993,330.2,331.2,330.1,330.7,10440,0.00%
02-02-1993,330.1,331.1,330,330.6,19270,-0.03%
03-02-1993,330.1,330.2,329.1,329.5,14620,-0.33%
04-02-1993,328.9,329.3,328.5,329.2,5720,-0.09%
05-02-1993,328.7,329.3,328.6,328.9,10720,-0.09%
08-02-1993,328.3,329.4,328.3,329.1,12180,0.06%
09-02-1993,329.1,329.8,329,329.6,46350,0.15%
10-02-1993,330.4,333.8,330.3,333.7,23420,1.24%
11-02-1993,334.3,334.6,332.2,332.7,24050,-0.30%
12-02-1993,331.7,331.8,328.8,330,30670,-0.81%
16-02-1993,330.9,334.4,330.5,333.4,19080,1.03%
17-02-1993,332.7,332.9,330.8,331.5,23720,-0.57%
18-02-1993,329.9,332.8,329.8,331.5,13280,0.00%
19-02-1993,332,332.5,330.8,331,29440,-0.15%
22-02-1993,330.1,332,328.7,328.8,21950,-0.66%
23-02-1993,330.4,331.9,330.2,331.6,17240,0.85%
24-02-1993,331.2,332.2,330.1,330.4,8900,-0.36%
25-02-1993,330.8,331.4,330.3,330.6,20840,0.06%
26-02-1993,329.1,329.8,327.8,329.1,6470,-0.45%
01-03-1993,329.5,329.8,329.1,329.3,9880,0.06%
02-03-1993,330,330.7,329.6,330.5,9930,0.36%
03-03-1993,330.5,330.9,329.5,329.7,12080,-0.24%
04-03-1993,329.1,329.7,328.3,329.6,15730,-0.03%
05-03-1993,330.7,331.3,330.2,330.4,33090,0.24%
08-03-1993,329.3,329.5,327,327.7,24490,-0.82%
09-03-1993,327.6,328.2,326.6,327.2,14530,-0.15%
10-03-1993,326.9,327.5,325.8,326.9,20170,-0.09%
11-03-1993,327.2,328,326.8,327.6,21800,0.21%
12-03-1993,327.1,329,327,328.5,25030,0.27%
15-03-1993,328.8,330.5,328.5,329.8,12990,0.40%
16-03-1993,329.6,330,328.7,329.6,9520,-0.06%
17-03-1993,329.4,330.1,329,329.7,28730,0.03%
18-03-1993,330,331.7,329.9,331.2,18310,0.45%
19-03-1993,332.1,332.9,331.7,332.3,23730,0.33%
22-03-1993,333.3,333.9,332.4,333.3,17410,0.30%
23-03-1993,332.2,332.8,332,332.3,20010,-0.30%
