Date,Open,High,Low,Close,Change %
01-03-2000,1469.2,1478,1438.4,1455.2,-0.95%
01-04-2000,1455.2,1455.2,1397.4,1399.4,-3.83%
01-05-2000,1399.4,1413.3,1377.7,1402.1,0.19%
01-06-2000,1402.1,1411.9,1392,1403.5,0.10%
01-07-2000,1403.5,1441.5,1400.5,1441.5,2.71%
01-10-2000,1441.5,1464.4,1441.5,1457.6,1.12%
01-11-2000,1457.6,1458.8,1434.4,1438.6,-1.30%
01-12-2000,1439.1,1445.3,1427.3,1432.2,-0.44%
13-01-2000,1432.2,1454.6,1432.2,1449.7,1.22%
14-01-2000,1449.7,1473,1449.7,1465.2,1.07%
18-01-2000,1465.2,1465.2,1451.2,1455.1,-0.69%
19-01-2000,1455.1,1462.2,1448.7,1455.9,0.05%
20-01-2000,1455.9,1465.6,1438.6,1445.6,-0.71%
21-01-2000,1445.6,1452.8,1439.5,1441.4,-0.29%
24-01-2000,1441.4,1454.2,1395.4,1401.5,-2.77%
25-01-2000,1401.5,1414.3,1388.5,1410,0.61%
26-01-2000,1410,1412.5,1400.1,1404.1,-0.42%
27-01-2000,1404.1,1419,1380.5,1398.6,-0.39%
28-01-2000,1398.6,1398.6,1356.1,1360.2,-2.75%
31-01-2000,1360.2,1394.5,1350,1394.5,2.52%
02-01-2000,1394.5,1412.6,1384.8,1409.3,1.06%
02-02-2000,1409.3,1420.5,1403.2,1409.1,-0.01%
02-03-2000,1409.1,1425.8,1398.5,1425,1.13%
02-04-2000,1425,1436,1420.5,1424.4,-0.04%
02-07-2000,1424.4,1427.2,1413.3,1424.2,-0.01%
02-08-2000,1424.2,1442,1424.2,1441.7,1.23%
02-09-2000,1443.3,1444.4,1411.6,1411.7,-2.08%
02-10-2000,1411.7,1422,1406.4,1416.8,0.36%
02-11-2000,1416.8,1416.8,1379.2,1387.1,-2.10%
14-02-2000,1387.1,1394.9,1380.5,1389.9,0.20%
15-02-2000,1389.9,1407.8,1376.2,1402,0.87%
16-02-2000,1402,1404.7,1385.6,1387.7,-1.02%
17-02-2000,1387.7,1399.8,1380.1,1388.3,0.04%
18-02-2000,1388.3,1388.3,1345.3,1346.1,-3.04%
22-02-2000,1346.1,1358.1,1332,1352.2,0.45%
23-02-2000,1352.2,1370.1,1342.4,1360.7,0.63%
24-02-2000,1360.7,1364.5,1329.9,1353.4,-0.54%
25-02-2000,1353.4,1362.1,1329.1,1333.4,-1.48%
28-02-2000,1333.4,1360.8,1325,1348,1.09%
29-02-2000,1348,1369.5,1348,1366.4,1.36%
03-01-2000,1366.4,1383,1366.4,1379.2,0.94%
03-02-2000,1379.2,1386.9,1370.3,1381.8,0.19%
03-03-2000,1381.8,1410.9,1381.8,1409.2,1.98%
03-06-2000,1409.2,1409.8,1384.8,1391.3,-1.27%
03-07-2000,1391.3,1399.6,1349.6,1355.6,-2.57%
03-08-2000,1355.6,1373.6,1346.5,1366.7,0.82%
03-09-2000,1366.7,1401.8,1357.8,1401.7,2.56%
03-10-2000,1401.7,1413.4,1392.1,1395.1,-0.47%
13-03-2000,1395.1,1398.5,1365.3,1383.6,-0.82%
14-03-2000,1383.6,1395.3,1359.1,1359.2,-1.76%
15-03-2000,1359.2,1398,1357,1392.2,2.43%
16-03-2000,1392.2,1458.5,1392.2,1458.5,4.76%
17-03-2000,1458.5,1476.6,1453.2,1464.5,0.41%
20-03-2000,1464.5,1470.2,1448.4,1456.6,-0.54%
21-03-2000,1456.6,1493.9,1446,1493.9,2.56%
22-03-2000,1493.9,1505,1487.4,1500.6,0.45%
23-03-2000,1500.6,1532.1,1493.8,1527.3,1.78%
24-03-2000,1527.3,1553.1,1516.8,1527.5,0.01%
27-03-2000,1527.5,1534.7,1518.6,1523.9,-0.24%
28-03-2000,1523.9,1527.2,1507.2,1507.7,-1.06%
29-03-2000,1507.7,1521.4,1497.3,1508.5,0.05%
30-03-2000,1508.5,1517.4,1474.6,1487.9,-1.37%
31-03-2000,1487.9,1519.8,1484.5,1498.6,0.72%
04-03-2000,1498.6,1507.1,1487.1,1506,0.49%
04-04-2000,1506,1526.2,1417.2,1494.7,-0.75%
04-05-2000,1494.7,1506.5,1478.1,1487.4,-0.49%
04-06-2000,1487.4,1511.8,1487.4,1501.3,0.93%
04-07-2000,1501.3,1518.7,1501.3,1516.3,1.00%
04-10-2000,1516.3,1527.1,1503,1504.5,-0.78%
04-11-2000,1504.5,1512.8,1486.8,1500.6,-0.26%
04-12-2000,1500.6,1510.6,1466.2,1467.2,-2.23%
13-04-2000,1467.2,1477.4,1440.3,1440.5,-1.82%
14-04-2000,1440.5,1440.5,1339.4,1356.6,-5.82%
17-04-2000,1356.6,1401.5,1346.7,1401.4,3.30%
18-04-2000,1401.4,1441.6,1397.6,1441.6,2.87%
19-04-2000,1441.6,1447.7,1425.3,1427.5,-0.98%
20-04-2000,1427.5,1435.4,1422,1434.5,0.49%
24-04-2000,1434.5,1434.5,1407.2,1429.9,-0.32%
25-04-2000,1429.9,1477.7,1429.9,1477.4,3.32%
26-04-2000,1477.4,1482.8,1457.3,1461,-1.11%
27-04-2000,1461,1469.1,1434.8,1464.9,0.27%
28-04-2000,1464.9,1473.4,1448.5,1452.4,-0.85%
05-01-2000,1452.4,1481.4,1452.4,1468.2,1.09%
05-02-2000,1468.2,1468.2,1445.1,1446.3,-1.49%
05-03-2000,1446.3,1446.3,1398.4,1415.1,-2.16%
05-04-2000,1415.1,1420.5,1405,1409.6,-0.39%
05-05-2000,1409.6,1435.9,1405.2,1432.6,1.63%
05-08-2000,1432.6,1432.6,1416.9,1424.2,-0.59%
05-09-2000,1424.2,1429.8,1401.9,1412.1,-0.85%
05-10-2000,1412.1,1412.1,1375.2,1383,-2.06%
05-11-2000,1383,1410.2,1383,1407.8,1.79%
05-12-2000,1407.8,1430.2,1407.8,1421,0.94%
15-05-2000,1421,1452.4,1417,1452.4,2.21%
16-05-2000,1452.4,1470.4,1450.8,1466,0.94%
17-05-2000,1466,1466,1441.6,1447.8,-1.24%
18-05-2000,1447.8,1458,1436.7,1437.2,-0.73%
19-05-2000,1437.2,1437.2,1401.7,1407,-2.10%
22-05-2000,1407,1410.3,1368.6,1400.7,-0.45%
23-05-2000,1400.7,1403.8,1373.4,1373.9,-1.91%
24-05-2000,1373.9,1401.4,1361.2,1399,1.83%
25-05-2000,1399,1411.9,1374,1381.5,-1.25%
26-05-2000,1381.5,1391.5,1369.8,1378,-0.25%
30-05-2000,1378,1422.5,1377.8,1422.5,3.23%
31-05-2000,1422.4,1434.6,1415.4,1420.6,-0.13%
06-01-2000,1420.6,1448.8,1420.6,1448.8,1.99%
06-02-2000,1448.8,1483.4,1448.8,1477.3,1.97%
06-05-2000,1477.3,1477.3,1464.7,1467.6,-0.66%
06-06-2000,1467.6,1471.3,1454.8,1457.8,-0.67%
06-07-2000,1457.8,1474.6,1455.2,1471.4,0.93%
06-08-2000,1471.4,1475.6,1456.5,1461.7,-0.66%
06-09-2000,1461.7,1472.7,1454.9,1457,-0.32%
06-12-2000,1457,1463,1446,1446,-0.75%
13-06-2000,1446,1470.4,1442.5,1469.4,1.62%
14-06-2000,1469.4,1483.6,1467.8,1470.5,0.07%
15-06-2000,1470.5,1482,1464.5,1478.7,0.56%
16-06-2000,1478.7,1481,1460.3,1464.5,-0.96%
19-06-2000,1464.5,1489,1459,1486,1.47%
20-06-2000,1486,1487.2,1470.2,1476,-0.67%
21-06-2000,1476,1482.2,1468.5,1479.1,0.21%
22-06-2000,1479.1,1479.1,1448.1,1452.2,-1.82%
23-06-2000,1452.2,1459.8,1438.3,1441.5,-0.74%
26-06-2000,1441.5,1462.3,1441.5,1455.3,0.96%
27-06-2000,1455.3,1463.3,1450.5,1450.5,-0.33%
28-06-2000,1450.5,1467.6,1450.5,1454.8,0.30%
29-06-2000,1454.8,1455.2,1434.6,1442.4,-0.85%
30-06-2000,1442.4,1454.7,1438.8,1454.6,0.85%
07-03-2000,1454.6,1469.8,1450.8,1469.5,1.02%
07-05-2000,1469.5,1469.5,1442.5,1446.2,-1.59%
07-06-2000,1446.2,1461.7,1439.6,1456.7,0.73%
07-07-2000,1456.7,1485.2,1456.7,1478.9,1.52%
07-10-2000,1478.9,1486.5,1474.7,1475.6,-0.22%
07-11-2000,1475.6,1488.9,1470.5,1480.9,0.36%
07-12-2000,1480.9,1497.5,1480.9,1492.9,0.81%
13-07-2000,1492.9,1501.4,1489.7,1495.8,0.19%
14-07-2000,1495.8,1510,1494.7,1510,0.95%
17-07-2000,1510,1517.2,1505.3,1510.5,0.03%
18-07-2000,1510.5,1510.5,1491.4,1493.7,-1.11%
19-07-2000,1493.7,1495.5,1479.8,1482,-0.78%
20-07-2000,1482,1501.9,1482,1495.6,0.92%
21-07-2000,1495.6,1495.6,1478,1480.2,-1.03%
24-07-2000,1480.2,1485.8,1463.8,1464.3,-1.07%
25-07-2000,1464.3,1476.3,1464.3,1474.5,0.70%
26-07-2000,1474.5,1474.5,1452.4,1452.4,-1.50%
27-07-2000,1452.4,1464.8,1445.3,1449.6,-0.19%
28-07-2000,1449.6,1456.3,1414.2,1419.9,-2.05%
31-07-2000,1419.9,1437.6,1418.3,1430.8,0.77%
08-01-2000,1430.8,1443.5,1428.8,1438.1,0.51%
08-02-2000,1438.1,1451.6,1433.5,1438.7,0.04%
08-03-2000,1438.7,1454.3,1426,1452.6,0.97%
08-04-2000,1452.6,1462.9,1451.5,1462.9,0.71%
08-07-2000,1462.9,1480.9,1460.8,1479.3,1.12%
08-08-2000,1479.3,1484.5,1472.6,1482.8,0.24%
08-09-2000,1482.8,1490.3,1471.2,1472.9,-0.67%
08-10-2000,1472.9,1475.2,1459.9,1460.2,-0.86%
08-11-2000,1460.2,1475.6,1452.9,1471.8,0.79%
14-08-2000,1471.8,1491.6,1468.6,1491.6,1.35%
15-08-2000,1491.6,1493,1482.8,1484.4,-0.48%
16-08-2000,1484.4,1494.7,1475.8,1479.8,-0.31%
17-08-2000,1479.8,1499.5,1479.8,1496.1,1.10%
18-08-2000,1496.1,1499.5,1488.9,1491.7,-0.29%
21-08-2000,1491.7,1503,1491.1,1499.5,0.52%
22-08-2000,1499.5,1508.2,1497.6,1498.1,-0.09%
23-08-2000,1498.1,1507.3,1489.4,1506,0.53%
24-08-2000,1506,1511.2,1501.3,1508.3,0.15%
25-08-2000,1508.3,1513.4,1505.2,1506.5,-0.12%
28-08-2000,1507,1523.9,1506.5,1514.1,0.50%
29-08-2000,1514.1,1514.8,1505.5,1509.8,-0.28%
30-08-2000,1509.8,1510.4,1500.1,1502.6,-0.48%
31-08-2000,1502.6,1525.3,1502.6,1517.7,1.00%
09-01-2000,1517.7,1530,1515.6,1520.8,0.20%
09-05-2000,1520.8,1520.8,1504.2,1507.1,-0.90%
09-06-2000,1507.1,1512.4,1492.2,1492.2,-0.99%
09-07-2000,1492.2,1505.2,1492.2,1502.5,0.69%
09-08-2000,1502.5,1502.5,1489.9,1494.5,-0.53%
09-11-2000,1494.5,1506.6,1483,1489.3,-0.35%
09-12-2000,1489.3,1496.6,1479.9,1482,-0.49%
13-09-2000,1482,1487.4,1474,1484.9,0.20%
14-09-2000,1484.9,1494.3,1476.8,1480.9,-0.27%
15-09-2000,1480.9,1481,1460.2,1465.8,-1.02%
18-09-2000,1465.8,1467.9,1441.8,1444.5,-1.45%
19-09-2000,1444.5,1461,1444.5,1459.9,1.07%
20-09-2000,1459.9,1460.7,1431,1451.3,-0.59%
21-09-2000,1451.3,1452.9,1436.2,1449,-0.16%
22-09-2000,1449,1449.4,1421.9,1448.7,-0.02%
25-09-2000,1448.7,1457.4,1436.1,1439,-0.67%
26-09-2000,1439,1447.7,1425.3,1427.2,-0.82%
27-09-2000,1427.2,1436.7,1419.5,1426.6,-0.04%
28-09-2000,1426.6,1461.7,1425.8,1458.3,2.22%
29-09-2000,1458.3,1458.3,1436.5,1436.5,-1.49%
10-02-2000,1436.5,1445.5,1429.8,1436.2,-0.02%
10-03-2000,1436.2,1454.8,1425.3,1426.5,-0.68%
10-04-2000,1426.5,1440,1416.3,1434.3,0.55%
10-05-2000,1434.3,1444.2,1431.8,1436.3,0.14%
10-06-2000,1436.3,1443.3,1397.1,1409,-1.90%
10-09-2000,1409,1409.7,1392.5,1402,-0.50%
10-10-2000,1402,1408.8,1383.8,1387,-1.07%
10-11-2000,1387,1387,1349.7,1364.6,-1.61%
10-12-2000,1364.6,1374.9,1328.1,1329.8,-2.55%
13-10-2000,1329.8,1374.2,1326.8,1374.2,3.34%
16-10-2000,1374.2,1379.5,1365.1,1374.6,0.03%
17-10-2000,1374.6,1381,1342.3,1350,-1.79%
18-10-2000,1350,1356.7,1305.8,1342.1,-0.59%
19-10-2000,1342.1,1389.9,1342.1,1388.8,3.48%
20-10-2000,1388.8,1408.5,1382.2,1396.9,0.58%
23-10-2000,1396.9,1407,1387.8,1395.8,-0.08%
24-10-2000,1395.8,1415.6,1388.1,1398.1,0.16%
25-10-2000,1398.1,1398.1,1362.2,1364.9,-2.37%
26-10-2000,1364.9,1372.7,1337.8,1364.4,-0.04%
27-10-2000,1364.4,1384.6,1364.1,1379.6,1.11%
30-10-2000,1379.6,1406.4,1376.9,1398.7,1.38%
31-10-2000,1398.7,1432.2,1398.7,1429.4,2.19%
11-01-2000,1429.4,1429.6,1410.5,1421.2,-0.57%
11-02-2000,1421.2,1433.3,1421.1,1428.3,0.50%
11-03-2000,1428.3,1433.2,1420.9,1426.7,-0.11%
11-06-2000,1428.8,1438.5,1427.7,1432.2,0.39%
11-07-2000,1432.2,1436.2,1423.3,1431.9,-0.02%
11-08-2000,1431.9,1437.3,1408.8,1409.3,-1.58%
11-09-2000,1409.3,1409.3,1369.7,1400.1,-0.65%
11-10-2000,1400.1,1400.1,1366,1366,-2.44%
13-11-2000,1366,1366,1328.6,1351.3,-1.08%
14-11-2000,1351.3,1390.1,1351.3,1383,2.35%
15-11-2000,1383,1396,1374.8,1389.8,0.49%
16-11-2000,1389.8,1394.7,1370.4,1372.3,-1.26%
17-11-2000,1372.3,1384.8,1355.5,1367.7,-0.34%
20-11-2000,1367.7,1367.7,1341.7,1342.6,-1.84%
21-11-2000,1342.6,1355.9,1333.6,1347.3,0.35%
22-11-2000,1347.3,1347.3,1321.9,1322.4,-1.85%
24-11-2000,1322.4,1343.8,1322.4,1341.8,1.47%
27-11-2000,1341.8,1362.5,1341.8,1349,0.54%
28-11-2000,1349,1358.8,1335,1336.1,-0.96%
29-11-2000,1336.1,1352.4,1329.3,1341.9,0.43%
30-11-2000,1341.9,1341.9,1294.9,1315,-2.00%
12-01-2000,1315,1334.7,1307,1315.2,0.02%
12-04-2000,1315.2,1332.1,1310.2,1325,0.75%
12-05-2000,1325,1376.6,1325,1376.5,3.89%
12-06-2000,1376.5,1376.5,1346.2,1351.5,-1.82%
12-07-2000,1351.5,1353.5,1339.3,1343.5,-0.59%
12-08-2000,1343.5,1380.3,1343.5,1369.9,1.97%
12-11-2000,1369.9,1389,1364.1,1380.2,0.75%
12-12-2000,1380.2,1380.3,1370.3,1371.2,-0.65%
13-12-2000,1371.2,1385.8,1358.5,1360,-0.82%
14-12-2000,1360,1360,1340.5,1340.9,-1.40%
15-12-2000,1340.9,1340.9,1305.4,1312.2,-2.14%
18-12-2000,1312.2,1332.3,1312.2,1322.7,0.80%
19-12-2000,1323,1346.4,1305.2,1305.6,-1.29%
20-12-2000,1305.6,1305.6,1261.2,1264.7,-3.13%
21-12-2000,1264.7,1285.3,1254.1,1274.9,0.81%
22-12-2000,1274.9,1306,1274.9,1306,2.44%
26-12-2000,1306,1315.9,1301.6,1315.2,0.70%
27-12-2000,1315.2,1332,1311,1328.9,1.04%
28-12-2000,1328.9,1335.9,1325.8,1334.2,0.40%
29-12-2000,1334.2,1340.1,1317.5,1320.3,-1.04%
01-02-2001,1320.3,1320.3,1276,1283.3,-2.80%
01-03-2001,1283.3,1347.8,1274.6,1347.6,5.01%
01-04-2001,1347.6,1350.2,1329.1,1333.3,-1.06%
01-05-2001,1333.3,1334.8,1295,1298.3,-2.63%
01-08-2001,1298.3,1298.3,1276.3,1295.9,-0.18%
01-09-2001,1295.9,1311.7,1295.1,1300.8,0.38%
