Date,Open,High,Low,Close,Change %
01-02-1980,8,8,8,8,0.00%
01-03-1980,7.95,7.95,7.95,7.95,-0.63%
01-04-1980,8.05,8.05,8.05,8.05,1.26%
01-07-1980,8.05,8.05,8.05,8.05,0.00%
01-08-1980,8.05,8.05,8.05,8.05,0.00%
01-09-1980,8,8,8,8,-0.62%
01-10-1980,8,8,8,8,0.00%
01-11-1980,8.03,8.03,8.03,8.03,0.37%
14-01-1980,8.03,8.03,8.03,8.03,0.00%
15-01-1980,7.9,7.9,7.9,7.9,-1.62%
16-01-1980,7.9,7.9,7.9,7.9,0.00%
17-01-1980,7.96,7.96,7.96,7.96,0.76%
18-01-1980,7.85,7.85,7.85,7.85,-1.38%
21-01-1980,7.93,7.93,7.93,7.93,1.02%
22-01-1980,7.98,7.98,7.98,7.98,0.63%
23-01-1980,8,8,8,8,0.25%
24-01-1980,8,8,8,8,0.00%
25-01-1980,8,8,8,8,0.00%
28-01-1980,8,8,8,8,0.00%
29-01-1980,8,8,8,8,0.00%
30-01-1980,8,8,8,8,0.00%
31-01-1980,8.06,8.06,8.06,8.06,0.75%
02-01-1980,8.04,8.04,8.04,8.04,-0.25%
02-04-1980,8.04,8.04,8.04,8.04,0.00%
02-05-1980,8,8,8,8,-0.50%
02-06-1980,7.96,7.96,7.96,7.96,-0.50%
02-07-1980,7.92,7.92,7.92,7.92,-0.50%
02-08-1980,7.85,7.85,7.85,7.85,-0.88%
02-11-1980,7.9,7.9,7.9,7.9,0.64%
13-02-1980,7.9,7.9,7.9,7.9,0.00%
14-02-1980,7.9,7.9,7.9,7.9,0.00%
15-02-1980,7.92,7.92,7.92,7.92,0.25%
19-02-1980,7.98,7.98,7.98,7.98,0.76%
20-02-1980,8,8,8,8,0.25%
21-02-1980,8,8,8,8,0.00%
22-02-1980,8,8,8,8,0.00%
25-02-1980,8.05,8.05,8.05,8.05,0.63%
26-02-1980,8.05,8.05,8.05,8.05,0.00%
27-02-1980,8.02,8.02,8.02,8.02,-0.37%
28-02-1980,8.06,8.06,8.06,8.06,0.50%
29-02-1980,8.06,8.06,8.06,8.06,0.00%
03-03-1980,8.08,8.08,8.08,8.08,0.25%
03-04-1980,8.08,8.08,8.08,8.08,0.00%
03-05-1980,8.1,8.1,8.1,8.1,0.25%
03-06-1980,8.13,8.13,8.13,8.13,0.37%
03-07-1980,8.13,8.13,8.13,8.13,0.00%
03-10-1980,8.13,8.13,8.13,8.13,0.00%
03-11-1980,8.15,8.15,8.15,8.15,0.25%
03-12-1980,8.13,8.13,8.13,8.13,-0.25%
13-03-1980,8.13,8.13,8.13,8.13,0.00%
14-03-1980,8.17,8.17,8.17,8.17,0.49%
17-03-1980,8.2,8.2,8.2,8.2,0.37%
18-03-1980,8.2,8.2,8.2,8.2,0.00%
19-03-1980,8.16,8.16,8.16,8.16,-0.49%
20-03-1980,8.16,8.16,8.16,8.16,0.00%
21-03-1980,8.16,8.16,8.16,8.16,0.00%
24-03-1980,8.16,8.16,8.16,8.16,0.00%
25-03-1980,8.15,8.15,8.15,8.15,-0.12%
26-03-1980,8.15,8.15,8.15,8.15,0.00%
27-03-1980,8.2,8.2,8.2,8.2,0.61%
28-03-1980,8.2,8.2,8.2,8.2,0.00%
31-03-1980,8.22,8.22,8.22,8.22,0.24%
04-01-1980,8.3,8.3,8.3,8.3,0.97%
04-02-1980,8.25,8.25,8.25,8.25,-0.60%
04-03-1980,8.2,8.2,8.2,8.2,-0.61%
04-04-1980,8.2,8.2,8.2,8.2,0.00%
04-07-1980,8.2,8.2,8.2,8.2,0.00%
04-08-1980,8.2,8.2,8.2,8.2,0.00%
04-09-1980,8.2,8.2,8.2,8.2,0.00%
04-10-1980,8.08,8.08,8.08,8.08,-1.46%
04-11-1980,8.08,8.08,8.08,8.08,0.00%
14-04-1980,8.03,8.03,8.03,8.03,-0.62%
15-04-1980,8.05,8.05,8.05,8.05,0.25%
16-04-1980,7.98,7.98,7.98,7.98,-0.87%
17-04-1980,8.05,8.05,8.05,8.05,0.88%
18-04-1980,8.05,8.05,8.05,8.05,0.00%
21-04-1980,8.03,8.03,8.03,8.03,-0.25%
22-04-1980,8,8,8,8,-0.37%
23-04-1980,7.97,7.97,7.97,7.97,-0.38%
24-04-1980,7.97,7.97,7.97,7.97,0.00%
25-04-1980,8,8,8,8,0.38%
28-04-1980,7.9,7.9,7.9,7.9,-1.25%
29-04-1980,7.9,7.9,7.9,7.9,0.00%
30-04-1980,7.9,7.9,7.9,7.9,0.00%
05-01-1980,7.9,7.9,7.9,7.9,0.00%
05-02-1980,7.9,7.9,7.9,7.9,0.00%
05-05-1980,7.9,7.9,7.9,7.9,0.00%
05-06-1980,7.9,7.9,7.9,7.9,0.00%
05-07-1980,7.9,7.9,7.9,7.9,0.00%
05-08-1980,7.9,7.9,7.9,7.9,0.00%
05-09-1980,7.9,7.9,7.9,7.9,0.00%
05-12-1980,7.88,7.88,7.88,7.88,-0.25%
13-05-1980,7.9,7.9,7.9,7.9,0.25%
14-05-1980,7.9,7.9,7.9,7.9,0.00%
15-05-1980,7.9,7.9,7.9,7.9,0.00%
16-05-1980,7.9,7.9,7.9,7.9,0.00%
19-05-1980,7.9,7.9,7.9,7.9,0.00%
20-05-1980,7.9,7.9,7.9,7.9,0.00%
21-05-1980,7.85,7.85,7.85,7.85,-0.63%
22-05-1980,7.82,7.82,7.82,7.82,-0.38%
23-05-1980,7.82,7.82,7.82,7.82,0.00%
27-05-1980,7.71,7.71,7.71,7.71,-1.41%
28-05-1980,7.75,7.75,7.75,7.75,0.52%
29-05-1980,7.75,7.75,7.75,7.75,0.00%
30-05-1980,7.75,7.75,7.75,7.75,0.00%
06-02-1980,7.75,7.75,7.75,7.75,0.00%
06-03-1980,7.77,7.77,7.77,7.77,0.26%
06-04-1980,7.92,7.92,7.92,7.92,1.93%
06-05-1980,7.86,7.86,7.86,7.86,-0.76%
06-06-1980,7.86,7.86,7.86,7.86,0.00%
06-09-1980,7.82,7.82,7.82,7.82,-0.51%
06-10-1980,7.82,7.82,7.82,7.82,0.00%
06-11-1980,7.85,7.85,7.85,7.85,0.38%
06-12-1980,7.82,7.82,7.82,7.82,-0.38%
13-06-1980,7.82,7.82,7.82,7.82,0.00%
16-06-1980,7.83,7.83,7.83,7.83,0.13%
17-06-1980,7.85,7.85,7.85,7.85,0.26%
18-06-1980,7.85,7.85,7.85,7.85,0.00%
19-06-1980,7.89,7.89,7.89,7.89,0.51%
20-06-1980,7.87,7.87,7.87,7.87,-0.25%
23-06-1980,7.85,7.85,7.85,7.85,-0.25%
24-06-1980,7.87,7.87,7.87,7.87,0.25%
25-06-1980,7.87,7.87,7.87,7.87,0.00%
26-06-1980,7.87,7.87,7.87,7.87,0.00%
27-06-1980,7.85,7.85,7.85,7.85,-0.25%
30-06-1980,7.8,7.8,7.8,7.8,-0.64%
07-01-1980,7.8,7.8,7.8,7.8,0.00%
07-02-1980,7.77,7.77,7.77,7.77,-0.38%
07-03-1980,7.8,7.8,7.8,7.8,0.39%
07-07-1980,7.8,7.8,7.8,7.8,0.00%
07-08-1980,7.75,7.75,7.75,7.75,-0.64%
07-09-1980,7.75,7.75,7.75,7.75,0.00%
07-10-1980,7.77,7.77,7.77,7.77,0.26%
07-11-1980,7.77,7.77,7.77,7.77,0.00%
14-07-1980,7.75,7.75,7.75,7.75,-0.26%
15-07-1980,7.75,7.75,7.75,7.75,0.00%
16-07-1980,7.75,7.75,7.75,7.75,0.00%
17-07-1980,7.77,7.77,7.77,7.77,0.26%
18-07-1980,7.77,7.77,7.77,7.77,0.00%
21-07-1980,7.77,7.77,7.77,7.77,0.00%
